object_type,clr_property,enum_type,members
DigitalGauge,SelectedPropertyType,DWSIM.Interfaces.Enums.UnitOfMeasure,"accel,activity,activityCoefficient,area,boilingPointTemperature,cakeresistance,cinematic_viscosity,compressibility,compressibilityFactor,deltaP,deltaT,density,diameter,distance,enthalpy,entropy,excessEnthalpy,excessEntropy,force,foulingfactor,fugacity,fugacityCoefficient,gor,head,heat_transf_coeff,heatCapacityCp,heatCapacityCv,heatflow,idealGasHeatCapacity,jouleThomsonCoefficient,kvalue,logFugacityCoefficient,logKvalue,mass,mass_conc,massflow,massfraction,mediumresistance,meltingTemperature,molar_conc,molar_enthalpy,molar_entropy,molar_volume,molarflow,molarfraction,molecularWeight,pressure,reac_rate,reac_rate_heterog,spec_vol,speedOfSound,surfaceTension,temperature,thermalConductivity,thermalConductivityOfLiquid,thermalConductivityOfVapor,thickness,time,vaporPressure,velocity,viscosity,viscosityOfLiquid,viscosityOfVapor,volume,volumetricFlow,diffusivity,none,conductance,heat,mole,emission_factor,specificpower"
DigitalGauge,DynamicsSpec,DWSIM.Interfaces.Enums.Dynamics+DynamicsSpecType,"Pressure,Flow"
DistillationColumn,ObjectClass,DWSIM.Interfaces.Enums.SimulationObjectClass,"Streams,PressureChangers,Separators,MixersSplitters,Exchangers,Reactors,Columns,Solids,CAPEOPEN,UserModels,Logical,Other,Indicators,Controllers,Switches,Inputs,None,CleanPowerSources,Electrolyzers"
DistillationColumn,SolverScheme,DWSIM.UnitOperations.UnitOperations.Column+SolvingScheme,"Ideal_K_Init,Ideal_Enthalpy_Init,Ideal_K_and_Enthalpy_Init,Direct"
DistillationColumn,CondenserType,DWSIM.UnitOperations.UnitOperations.Column+condtype,"Total_Condenser,Partial_Condenser,Full_Reflux"
DistillationColumn,ColumnType,DWSIM.UnitOperations.UnitOperations.Column+ColType,"DistillationColumn,AbsorptionColumn,ReboiledAbsorber,RefluxedAbsorber"
DistillationColumn,DynamicsSpec,DWSIM.Interfaces.Enums.Dynamics+DynamicsSpecType,"Pressure,Flow"
EnergyStream,ObjectClass,DWSIM.Interfaces.Enums.SimulationObjectClass,"Streams,PressureChangers,Separators,MixersSplitters,Exchangers,Reactors,Columns,Solids,CAPEOPEN,UserModels,Logical,Other,Indicators,Controllers,Switches,Inputs,None,CleanPowerSources,Electrolyzers"
EnergyStream,DynamicsSpec,DWSIM.Interfaces.Enums.Dynamics+DynamicsSpecType,"Pressure,Flow"
ExcelUO,ObjectClass,DWSIM.Interfaces.Enums.SimulationObjectClass,"Streams,PressureChangers,Separators,MixersSplitters,Exchangers,Reactors,Columns,Solids,CAPEOPEN,UserModels,Logical,Other,Indicators,Controllers,Switches,Inputs,None,CleanPowerSources,Electrolyzers"
ExcelUO,DynamicsSpec,DWSIM.Interfaces.Enums.Dynamics+DynamicsSpecType,"Pressure,Flow"
Expander,ObjectClass,DWSIM.Interfaces.Enums.SimulationObjectClass,"Streams,PressureChangers,Separators,MixersSplitters,Exchangers,Reactors,Columns,Solids,CAPEOPEN,UserModels,Logical,Other,Indicators,Controllers,Switches,Inputs,None,CleanPowerSources,Electrolyzers"
